x,y,z,ax,ay,az,aw,s,ss
1065.35,1168.15,0.0,0.0,0.0,0.19826295979979625,0.9801488656175777,162.5223772266921,0.8784645695758085
1066.57,1168.66,0.0,0.0,0.0,0.19548744205757537,0.980706204730951,163.84468581397422,1.322308587282128
1067.39,1169.0,0.0,0.0,0.0,0.19350494736435478,0.9810992994317743,164.73237945482123,0.8876936408470057
1068.2,1169.33,0.0,0.0,0.0,0.19169553083441884,0.9814544428846967,165.60702223904795,0.874642784226717
1069.43,1169.82,0.0,0.0,0.0,0.18877580157024984,0.9820202119821718,166.93103130246107,1.3240090634131074
1070.25,1170.15,0.0,0.0,0.0,0.1865154625112925,0.9824520254161008,167.81494306276295,0.8839117603018967
1071.07,1170.47,0.0,0.0,0.0,0.18459549852095608,0.9828145816611593,168.6951703061495,0.8802272433865331
1071.48,1170.63,0.0,0.0,0.0,0.18349585346981453,0.9830204838961314,169.13528392784292,0.4401136216934137
1072.72,1171.1,0.0,0.0,0.0,0.18030627569278776,0.9836105158780056,170.46136838970793,1.326084461865018
1073.55,1171.41,0.0,0.0,0.0,0.17798905836686704,0.9840324664876032,171.3473706470414,0.8860022573334597
1074.38,1171.72,0.0,0.0,0.0,0.17634691900180188,0.9843280775018927,172.233372904375,0.8860022573335933
1075.61,1172.17,0.0,0.0,0.0,0.17376419636811802,0.9847872887383052,173.54310570155138,1.3097327971764037
1076.44,1172.47,0.0,0.0,0.0,0.17151988252317335,0.9851806585084976,174.42565881610042,0.8825531145490504
1077.27,1172.77,0.0,0.0,0.0,0.16927295798888892,0.9855692089821454,175.30821193064926,0.8825531145488366
1077.68,1172.91,0.0,0.0,0.0,0.16835690901612718,0.9857261035330938,175.74145551109805,0.4332435804487992
1078.93,1173.35,0.0,0.0,0.0,0.1654770777917582,0.9862136364528228,177.06663474425855,1.3251792331604988
1080.18,1173.77,0.0,0.0,0.0,0.16084333881271642,0.986979949319933,178.38530832024315,1.3186735759846184
1080.6,1173.91,0.0,0.0,0.0,0.15943580750222425,0.9872082978207354,178.8280271926666,0.4427188724234581
1081.85,1174.32,0.0,0.0,0.0,0.1551974865422249,0.9878834648737552,180.14354990246673,1.3155227098001314
1082.69,1174.59,0.0,0.0,0.0,0.15270296548252,0.9882721307073494,181.02587637265802,0.8823264701912975
1083.53,1174.85,0.0,0.0,0.0,0.15021178493520593,0.988653842184705,181.90519429013716,0.8793179174791435
1083.95,1174.98,0.0,0.0,0.0,0.14881827356148464,0.9888645617344062,182.3448532488769,0.43965895873971395
1085.63,1175.49,0.0,0.0,0.0,0.1434243945991646,0.9896612769194636,184.1005582354849,1.7557049866080021
1086.47,1175.74,0.0,0.0,0.0,0.14062821566832304,0.9900624752801934,184.97697138006905,0.876413144584141
1086.9,1175.86,0.0,0.0,0.0,0.1388256953138239,0.9903168312821071,185.42340166578006,0.4464302857110263
1087.74,1176.1,0.0,0.0,0.0,0.13579857264538278,0.9907364673148338,186.29701485249365,0.8736131867135859
1089.02,1176.45,0.0,0.0,0.0,0.13134462578400596,0.9913367688518667,187.62400392554588,1.3269890730522333
1089.87,1176.67,0.0,0.0,0.0,0.12857059021995978,0.9917003596502783,188.50201303711583,0.8780091115699525
1090.72,1176.9,0.0,0.0,0.0,0.12628986580162413,0.9919933819314561,189.38258103562603,0.8805679985101891
1091.15,1177.01,0.0,0.0,0.0,0.12478084434298303,0.9921843280787357,189.82642785604952,0.4438468204234798
1092.43,1177.33,0.0,0.0,0.0,0.12062630869186271,0.9926979871297088,191.14582165624714,1.3193938001976093
1093.29,1177.54,0.0,0.0,0.0,0.11850275166706631,0.9929537239203716,192.03108997715321,0.8852683209060648
1094.15,1177.74,0.0,0.0,0.0,0.11614809790536401,0.9932319061291608,192.91403957933912,0.8829496021858989
1094.58,1177.84,0.0,0.0,0.0,0.11527522754030853,0.9933335904496183,193.35551438043183,0.44147480109270226
1096.29,1178.24,0.0,0.0,0.0,0.11182795655017115,0.9937275824559832,195.11167496534432,1.7561605849124953
1096.72,1178.34,0.0,0.0,0.0,0.11020269193137956,0.9939091340213538,195.55314976643726,0.4414748010929237
1097.58,1178.53,0.0,0.0,0.0,0.10842184784829977,0.9941049757994174,196.43388809307,0.8807383266327455
1098.44,1178.72,0.0,0.0,0.0,0.10684022191817473,0.9942762025616801,197.314626419703,0.8807383266329675
1099.73,1178.99,0.0,0.0,0.0,0.10343399840075862,0.9946363194529103,198.63257937789228,1.3179529581892886
1100.6,1179.17,0.0,0.0,0.0,0.10096774064445453,0.9948897000920023,199.52100495158984,0.8884255736975568
1101.03,1179.26,0.0,0.0,0.0,0.09988676598988219,0.9949988110445572,199.96032260431966,0.43931765272982143
